,id,x,y,vx,vy,fx,fy,E_pot,E_kin
3.0,6,12.987149,-8.750254,-10.431729107354094,0.8966448658167717,0.0007402463325547615,-0.00022458404043845803,0.03727306333044469,365.59918885568845
3.0,7,61.838158,-1.0249966,-8.212753913032994,-0.30016833764664674,0.0002587726416081182,5.86866660583496e-05,0.005708373403747746,225.24399193632598
3.0,8,-45.64282,-69.74209,-7.609494678124524,-9.488516906289833,-0.016826764098368585,-0.053813790320418775,0.5965932692987926,493.3677683950737
3.0,9,-27.258797,65.0122,9.6278064760598,-1.7888593161556243,-1.7660700885713254e-05,7.502862369079821e-05,0.001684095056263663,319.808741770175
4.0,0,-61.300022,-57.26361,2.643816443598134,-10.08143814179944,-0.026605049082718324,0.01534787641654134,0.6606538154143753,362.2649099152187
4.0,1,-12.087858,-51.196495,-8.339286580635134,-4.685776672402481,0.0002702303336263867,-0.0004859296145696135,0.028315731980884783,305.153179331471
4.0,2,36.93225,-58.10388,8.642271572659308,3.9152032221828814,-11.431917572955342,-13.291736997477836,143.0477716537821,300.20894347896564
4.0,3,44.47261,-55.099873,3.9864586349858837,4.528753521119878,21.04905919171739,-0.7765973729061564,143.04596912885347,121.39887211320321
4.0,4,-53.718155,7.938735,-9.032213419216795,0.38841480771423087,-0.001836484502177882,0.0002665749357220193,0.031758055526324235,272.57537061929395
4.0,5,-19.162035,1.3350829,8.598130318078926,1.762818241683817,-0.001258402618304899,0.0002752017135208007,0.06378912637692337,256.9129693548039
4.0,6,12.465563,-8.705421,-10.431722241228924,0.896642158286651,0.000848851467935674,-0.0003093940310918697,0.04148788351965906,365.5986949206874
4.0,7,61.42752,-1.0400051,-8.212751915163713,-0.30016787239253784,0.0002638379782204936,6.089754639404532e-05,0.0057776798986559205,225.24388156342573
4.0,8,-46.023296,69.78348,-7.609639292165789,-9.489009679231641,-0.018407842610031366,-0.06136554153636098,0.6712838537601385,493.4062960228331
4.0,9,-26.777407,64.92276,9.627806345855317,-1.7888587577255315,-1.7462173270033077e-05,7.467076922296201e-05,0.0016806192429782627,319.8087267457582
5.0,0,-61.16783,-57.76768,2.6438144918331314,-10.081439849446603,-0.000254266185038432,-0.00022280588663647904,0.004378441844489995,362.2649903249648
5.0,1,-12.504823,-51.430782,-8.339289064568788,-4.685782680692999,-0.00033798111417127075,-0.000809926451438514,0.013968109786742622,305.153505279452
